ID,Area,Feature,User Story,Expected Behaviour,Status,Notes
F01,Entry,Ввод имени,"Как игрок, я хочу ввести своё имя, чтобы соперник видел, кто я.","Поле имени на входе; пусто => «Игрок»; обрезается до 16 символов на сервере.",OK,
F02,Entry,Быстрая игра (комната MAIN),"Как игрок, я хочу быстро попасть в общую комнату без кода.","Вкладка «Быстрая игра» шлёт hello с room=MAIN; первые двое садятся на места 0/1.",OK,
F03,Entry,Создать комнату по коду,"Как игрок, я хочу свою комнату, чтобы играть отдельной парой.","create_room генерирует уникальный 4-буквенный код, сажает создателя на место 0.",OK,
F04,Entry,Войти по коду,"Как игрок, я хочу войти в комнату друга по коду.","hello с введённым кодом; код в верхнем регистре, до 6 символов.",OK,
F05,Entry,Комната заполнена,"Как игрок, я хочу понятную ошибку, если комната занята.","Третий игрок с новым токеном => error «Комната заполнена».",OK,
F06,Entry,Авто-реконнект,"Как игрок, я не хочу терять партию при обрыве связи.","UUID-токен в localStorage; ws.onclose => повтор connect с backoff 250мс..3с; hello с тем же токеном восстанавливает место и состояние.",OK,
F07,Select,Выбор Дома (5 Домов),"Как игрок, я хочу выбрать фракцию под свой стиль.","Сетка Домов из /api/houses; клик выбирает; сервер принимает только id из HOUSES.",OK,5 Домов: Медичи/Борджиа/Сфорца/Эсте/Савонарола
F08,Select,Инфо о Доме,"Как игрок, я хочу видеть пассивку и описание перед выбором.","Карточка Дома показывает герб, название, титул, описание, пассивку.",OK,
F09,Select,Выбор портрета (Met),"Как игрок, я хочу красивый портрет Возрождения как аватар.","/api/avatars отдаёт портреты Met (public domain); клик выбирает.",OK,В песочнице Met=403 => фолбэк
F10,Select,Фолбэк портретов (SVG),"Как игрок, я хочу аватар даже без интернета.","Если Met недоступен => AV_PALETTES + svgAvatar(idx).",OK,
F11,Select,Готовность,"Как игрок, я хочу отметить готовность к битве.","Кнопка «Готов»; недоступна без выбранного Дома; шлёт choose с ready.",OK,
F12,Select,Авто-старт при двух готовых,"Как игрок, я хочу, чтобы партия началась сама, когда оба готовы.","lobby.both_ready => любой клиент шлёт start; сервер строит GameState при ready+house у обоих.",OK,
F13,Select,Статус соперника,"Как игрок, я хочу видеть, готов ли соперник.","Текст кнопки меняется: «ждём соперника» / «оба готовы».",OK,
F14,Board,Престиж (здоровье),"Как игрок, я хочу видеть свой и вражеский престиж, чтобы оценивать угрозу.","Старт 30; цель — снизить вражеский до 0; отображается в полосе игрока.",OK,
F15,Board,Броня,"Как игрок, я хочу видеть броню, поглощающую урон.","Броня поглощает обычный урон первой; потолок 20.",OK,
F16,Board,Флорины,"Как игрок, я хочу видеть ресурс для розыгрыша карт.","Флорины копятся; потолок 15; тратятся на карты.",OK,
F17,Board,Рука,"Как игрок, я хочу видеть свои карты со стоимостью и эффектом.","Старт 4 карты; каждая показывает eff_cost, eff_value, blessed, иллюстрацию, текст.",OK,
F18,Board,Рука соперника скрыта,"Как игрок, я не должен видеть карты соперника.","view_for вырезает руку соперника; показывается лишь число карт (рубашки).",OK,
F19,Board,Баннер хода,"Как игрок, я хочу понимать, чей сейчас ход.","Баннер «Ваш ход / Ход соперника · круг N»; подсветка активной полосы.",OK,
F20,Board,Журнал событий,"Как игрок, я хочу видеть последние действия.","Лог последних ~4 строк под Колесом.",OK,
F21,Wheel,Вращение Колеса,"Как игрок, я хочу видеть честное серверное вращение Колеса.","Сервер шлёт финальный угол; оба клиента анимируют одинаково.",OK,
F22,Wheel,Благословение стихии,"Как игрок, я хочу ловить выгодную стихию.","Благословлённая стихия: карты этой стихии −1 стоимость и +1 эффект (+2 у Эсте).",OK,
F23,Wheel,Бонус стрика Фортуны,"Как игрок, я хочу награду за повтор стихии.","Та же стихия второй ход подряд => +1 флорин.",OK,
F24,Wheel,Сострадание Фортуны,"Как отстающий игрок, я хочу мягкий шанс на возврат.","Престиж<=10 => вращение благословляет самую частую стихию руки; тег золотится.",OK,§13e CLAUDE.md
F25,Wheel,Долг Фортуне (контроль),"Как игрок, я хочу рискнуть и взять флорины ценой контроля.","take_debt: +3 флорина сейчас; следующее вращение под контролем соперника; отменяет Сострадание.",OK,
F26,Wheel,Подсмотр стихии,"Как игрок, я хочу заглянуть в будущее Колесо.","astrologer/jester/Астролябия => peeked_next показывается активному игроку.",OK,
F27,Wheel,Перекрутка,"Как игрок, я хочу перекрутить невыгодное Колесо (шут).","jester даёт can_respin; кнопка «Перекрутить» => новое случайное вращение.",OK,
F28,Economy,Доход флоринов,"Как игрок, я хочу растущий доход с ходами.","В начале хода += min(turns_taken, FLORIN_CAP=10).",OK,
F29,Economy,Потолки ресурсов,"Как игрок, я хочу осмысленные пределы, без бесконечного снежного кома.","MAX_FLORINS=15, MAX_ARMOR=20; _clamp_resources после каждого действия.",OK,§13 CLAUDE.md
F30,Economy,Пассивка Медичи,"Как Медичи, я хочу разгон экономики.","+2 флорина в начале каждого хода.",OK,
F31,Economy,Вклад (banco),"Как Медичи, я хочу инвестировать флорины с возвратом.","banco: −2 сейчас, +6 в начале следующего хода (invest_return).",OK,
F32,Cards,Розыгрыш (двойной тап),"Как игрок, я хочу осознанно играть карту, без случайных тапов.","Первый тап выделяет, второй играет; шлёт play_card{uid}.",OK,
F33,Cards,Модификаторы стоимости,"Как игрок, я хочу, чтобы скидки/налоги учитывались.","_cost: благословение −1, Вдохновение =0, codex −1 (3 заряда), Подкуп +tax.",OK,
F34,Cards,Лимит карт за ход,"Как игрок, я хочу выбирать приоритет, а не спамить всё подряд.","Не более 3 карт/ход (CARDS_PER_TURN); чип N/3; карты блокируются на лимите.",OK,§13d CLAUDE.md
F35,Cards,Гейтинг доступности,"Как игрок, я хочу видеть, что мне по карману.","Дорогие/недоступные карты затемнены; тап даёт точную причину.",OK,
